parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,0.8897,0.7553
alpha,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,0.6136,
alpha,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,0.48,
alpha,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,0.619,0.747
alpha,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,0.8953,0.7953
alpha,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,1.0398,0.8015
alpha,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,0.912,0.7528
alpha,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,0.6361,
alpha,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,0.4809,
alpha,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,0.5974,
alpha,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,0.8722,0.8748
alpha,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,1.0378,0.9024
alpha,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,0.9329,0.861
alpha,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,0.6597,0.7829
alpha,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,0.4842,
alpha,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,0.5771,0.7017
alpha,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,0.8481,0.739
alpha,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,1.0333,0.7747
alpha,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,0.9524,0.7874
alpha,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,0.6842,0.7816
beta,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,4.0,3.0015
beta,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,4.0,3.5207
beta,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,4.0,3.7232
beta,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,4.0,3.7084
beta,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,4.0,3.4658
beta,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,4.0,3.8188
beta,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,4.0,3.9941
beta,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,4.0,4.061
beta,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,4.0,4.0084
beta,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,4.0,3.6884
beta,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,4.0,3.6304
beta,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,4.0,3.6201
beta,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,4.0,3.6298
beta,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,4.0,3.6822
nu,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,0.4975,0.4203
nu,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,0.4318,
nu,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,0.4,
nu,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,0.4331,0.4406
nu,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,0.4989,0.4625
nu,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,0.5333,0.4738
nu,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,0.5028,0.4673
nu,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,0.4372,
nu,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,0.4002,
nu,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,0.4279,
nu,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,0.4934,0.4669
nu,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,0.5328,0.4771
nu,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,0.5078,0.4753
nu,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,0.4428,0.4655
nu,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,0.401,
nu,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,0.4231,0.4666
nu,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,0.4876,0.4755
nu,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,0.5317,0.4803
nu,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,0.5125,0.4767
nu,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,0.4486,0.4641
