parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1000.0,Bi-weight 6666.7 width,20000,200,1.5248,
alpha,0,0,1620.68965517,Bi-weight 6666.7 width,20000,200,1.5401,
alpha,0,0,2241.37931034,Bi-weight 6666.7 width,20000,200,1.5555,
alpha,0,0,2862.06896552,Bi-weight 6666.7 width,20000,200,1.5708,1.6023
alpha,0,0,3482.75862069,Bi-weight 6666.7 width,20000,200,1.5862,1.6285
alpha,0,0,4103.44827586,Bi-weight 6666.7 width,20000,200,1.6016,1.6298
alpha,0,0,4724.13793103,Bi-weight 6666.7 width,20000,200,1.6169,1.6147
alpha,0,0,5344.82758621,Bi-weight 6666.7 width,20000,200,1.6323,1.5936
alpha,0,0,5965.51724138,Bi-weight 6666.7 width,20000,200,1.6477,1.5686
alpha,0,0,6586.20689655,Bi-weight 6666.7 width,20000,200,1.663,1.5396
alpha,0,0,7206.89655172,Bi-weight 6666.7 width,20000,200,1.6784,1.5171
alpha,0,0,7827.5862069,Bi-weight 6666.7 width,20000,200,1.6938,1.5186
alpha,0,0,8448.27586207,Bi-weight 6666.7 width,20000,200,1.7091,1.5585
alpha,0,0,9068.96551724,Bi-weight 6666.7 width,20000,200,1.7245,1.6177
alpha,0,0,9689.65517241,Bi-weight 6666.7 width,20000,200,1.7398,1.6708
alpha,0,0,10310.34482759,Bi-weight 6666.7 width,20000,200,1.7552,1.7152
alpha,0,0,10931.03448276,Bi-weight 6666.7 width,20000,200,1.7706,1.7482
alpha,0,0,11551.72413793,Bi-weight 6666.7 width,20000,200,1.7859,1.765
alpha,0,0,12172.4137931,Bi-weight 6666.7 width,20000,200,1.8013,1.755
alpha,0,0,12793.10344828,Bi-weight 6666.7 width,20000,200,1.8167,1.7088
alpha,0,0,13413.79310345,Bi-weight 6666.7 width,20000,200,1.832,1.6355
alpha,0,0,14034.48275862,Bi-weight 6666.7 width,20000,200,1.8474,1.547
alpha,0,0,14655.17241379,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,0,0,15275.86206897,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,0,0,15896.55172414,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,0,0,16517.24137931,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,0,0,17137.93103448,Bi-weight 6666.7 width,20000,200,1.1538,0.9867
alpha,0,0,17758.62068966,Bi-weight 6666.7 width,20000,200,1.1538,0.9874
alpha,0,0,18379.31034483,Bi-weight 6666.7 width,20000,200,1.1538,0.9863
alpha,0,0,19000.0,Bi-weight 6666.7 width,20000,200,1.1538,
alpha,1,0,1000.0,Bi-weight 6666.7 width,20000,200,0.5347,
alpha,1,0,1620.68965517,Bi-weight 6666.7 width,20000,200,0.5562,
alpha,1,0,2241.37931034,Bi-weight 6666.7 width,20000,200,0.5777,
alpha,1,0,2862.06896552,Bi-weight 6666.7 width,20000,200,0.5992,0.5811
alpha,1,0,3482.75862069,Bi-weight 6666.7 width,20000,200,0.6207,0.603
alpha,1,0,4103.44827586,Bi-weight 6666.7 width,20000,200,0.6422,0.6224
alpha,1,0,4724.13793103,Bi-weight 6666.7 width,20000,200,0.6637,0.6407
alpha,1,0,5344.82758621,Bi-weight 6666.7 width,20000,200,0.6852,0.6642
alpha,1,0,5965.51724138,Bi-weight 6666.7 width,20000,200,0.7067,0.7005
alpha,1,0,6586.20689655,Bi-weight 6666.7 width,20000,200,0.7282,0.7467
alpha,1,0,7206.89655172,Bi-weight 6666.7 width,20000,200,0.7497,0.786
